UserID,F,M
1,1,0
2,0,1
3,0,1
4,0,1
5,0,1
6,1,0
7,0,1
8,0,1
9,0,1
10,1,0
11,1,0
12,0,1
13,0,1
14,0,1
15,0,1
16,1,0
17,0,1
18,1,0
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,1,0
25,0,1
26,0,1
27,0,1
28,1,0
29,0,1
30,1,0
31,0,1
32,1,0
33,0,1
34,1,0
35,0,1
36,0,1
37,1,0
38,1,0
39,0,1
40,0,1
41,1,0
42,0,1
43,0,1
44,0,1
45,1,0
46,0,1
47,0,1
48,0,1
49,0,1
50,1,0
51,1,0
52,0,1
53,0,1
54,0,1
55,1,0
56,0,1
57,0,1
58,0,1
59,1,0
60,0,1
61,0,1
62,1,0
63,0,1
64,0,1
65,0,1
66,0,1
67,1,0
68,0,1
69,1,0
70,0,1
71,0,1
72,1,0
73,0,1
74,0,1
75,1,0
76,0,1
77,0,1
78,1,0
79,1,0
80,0,1
81,1,0
82,0,1
83,1,0
84,0,1
85,0,1
86,1,0
87,0,1
88,1,0
89,1,0
90,0,1
91,0,1
92,1,0
93,0,1
94,0,1
95,0,1
96,1,0
97,1,0
98,1,0
99,1,0
100,0,1
101,1,0
102,0,1
103,0,1
104,0,1
105,0,1
106,1,0
107,0,1
108,0,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,1
114,1,0
115,0,1
116,0,1
117,0,1
118,0,1
119,1,0
120,0,1
121,0,1
122,1,0
123,0,1
124,0,1
125,0,1
126,0,1
127,1,0
128,0,1
129,0,1
130,0,1
131,0,1
132,0,1
133,1,0
134,0,1
135,0,1
136,0,1
137,1,0
138,0,1
139,1,0
140,1,0
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,1,0
147,0,1
148,0,1
149,0,1
150,0,1
151,1,0
152,0,1
153,0,1
154,0,1
155,0,1
156,1,0
157,0,1
158,0,1
159,1,0
160,0,1
161,0,1
162,1,0
163,0,1
164,1,0
165,0,1
166,0,1
167,1,0
168,1,0
169,0,1
170,0,1
171,1,0
172,0,1
173,0,1
174,0,1
175,1,0
176,1,0
177,0,1
178,0,1
179,0,1
180,0,1
181,0,1
182,0,1
183,1,0
184,1,0
185,0,1
186,0,1
187,1,0
188,0,1
189,0,1
190,0,1
191,0,1
192,0,1
193,1,0
194,1,0
195,0,1
196,1,0
197,0,1
198,0,1
199,0,1
200,1,0
201,1,0
202,0,1
203,1,0
204,0,1
205,0,1
206,0,1
207,0,1
208,0,1
209,0,1
210,1,0
211,0,1
212,0,1
213,1,0
214,0,1
215,0,1
216,0,1
217,0,1
218,0,1
219,1,0
220,0,1
221,1,0
222,0,1
223,0,1
224,1,0
225,0,1
226,0,1
227,0,1
228,0,1
229,0,1
230,0,1
231,0,1
232,0,1
233,1,0
234,0,1
235,0,1
236,0,1
237,0,1
238,1,0
239,0,1
240,0,1
241,0,1
242,1,0
243,0,1
244,0,1
245,0,1
246,1,0
247,0,1
248,0,1
249,1,0
250,0,1
251,0,1
252,0,1
253,1,0
254,0,1
255,0,1
256,0,1
257,0,1
258,0,1
259,0,1
260,0,1
261,0,1
262,1,0
263,1,0
264,0,1
265,1,0
266,0,1
267,0,1
268,1,0
269,0,1
270,0,1
271,0,1
272,0,1
273,0,1
274,0,1
275,0,1
276,0,1
277,1,0
278,0,1
279,0,1
280,0,1
281,1,0
282,0,1
283,0,1
284,0,1
285,1,0
286,0,1
287,0,1
288,1,0
289,1,0
290,1,0
291,0,1
292,0,1
293,0,1
294,1,0
295,0,1
296,0,1
297,0,1
298,1,0
299,0,1
300,0,1
301,0,1
302,0,1
303,0,1
304,0,1
305,1,0
306,0,1
307,0,1
308,0,1
309,0,1
310,1,0
311,0,1
312,1,0
313,1,0
314,1,0
315,1,0
316,0,1
317,0,1
318,1,0
319,1,0
320,0,1
321,0,1
322,0,1
323,0,1
324,0,1
325,1,0
326,0,1
327,0,1
328,0,1
329,0,1
330,0,1
331,0,1
332,0,1
333,0,1
334,1,0
335,0,1
336,0,1
337,0,1
338,0,1
339,0,1
340,1,0
341,1,0
342,0,1
343,1,0
344,0,1
